scientificName,Article,Article_secondary_same_data,Evidence_category,Evidence_effect,Evidence_method,Study_rodent_final,Exclude_row,Sample_size_greater_than_1,Predation_type,Sample_size_nests_monitored,Hypothesis_supported,Percent_nests_or_individuals_predated,Predator_and_prey_population_data,Experiment_control_site_or_spatial_variation,Note_experiment_sample_size,Experiment_confounding_variables_included,Experiment_BACI,Study_location,Latitude,Longitude,Island_name,Archipelago,Region,Country,Study_notes,Study_ID,Reported_study_rodent,Study_rodent_notes,key
Procellaria aequinoctialis,"Jouventin, P., Bried, J. and Micol, T., 2003. Insular bird populations can be saved from rats: a long-term experimental study of white-chinned petrels Procellaria aequinoctialis on Ile de la Possession (Crozet archipelago). Polar Biology, 26, pp.371-378.",NA,Lethal program,Reproductive success,Spatial,Rattus rattus,,,NA,NA,0,,0,NA,NA,NA,NA,Ile de la Possession,-46.426900000000003,51.7378,possession,Crozet Islands,Indian Ocean - West,French Southern Territories,"Figure 1 - breeding success was higher in poisoned colony in 2 of 3 years (Table 3), (but the number of breeding pairs was higher) in non-poisoned colony in 1 of 3 years and appears similar in other 2 - no stats were provided. Data on rat abundance is provided for 2 years without comparison to petrel numbers. Thus, not defined as a spatiotemporal study.",298,Rattus rattus,,Procellaria aequinoctialis_Rattus rattus
Procellaria aequinoctialis,"Jouventin, P., Bried, J. and Micol, T., 2003. Insular bird populations can be saved from rats: a long-term experimental study of white-chinned petrels Procellaria aequinoctialis on Ile de la Possession (Crozet archipelago). Polar Biology, 26, pp.371-378.",NA,Lethal program,Abundance,Temporal,Rattus rattus,,,NA,NA,0,,0,NA,NA,NA,NA,Ile de la Possession,-46.426900000000003,51.7378,possession,Crozet Islands,Indian Ocean - West,French Southern Territories,"Figure 1 - (breeding success increased), number of breeding pairs decreased without obvious connection to poison baiting activities (low, high or none). Data on rat abundance is provided for 2 years without comparison to petrel numbers.",299,Rattus rattus,,Procellaria aequinoctialis_Rattus rattus
Procellaria aequinoctialis,"Jouventin, P., Bried, J. and Micol, T., 2003. Insular bird populations can be saved from rats: a long-term experimental study of white-chinned petrels Procellaria aequinoctialis on Ile de la Possession (Crozet archipelago). Polar Biology, 26, pp.371-378.",NA,Lethal program,Abundance,Spatial,Rattus rattus,,,NA,NA,0,,0,NA,NA,NA,NA,Ile de la Possession,-46.426900000000003,51.7378,possession,Crozet Islands,Indian Ocean - West,French Southern Territories,"Figure 1 - (breeding success was higher) in poisoned colony in 2 of 3 years (Table 3), but the number of breeding pairs was higher in non-poisoned colony in 1 of 3 years and appears similar in other 2 - no stats were provided. Data on rat abundance is provided for 2 years without comparison to petrel numbers. Thus, not defined as a spatiotemporal study.",300,Rattus rattus,,Procellaria aequinoctialis_Rattus rattus
Procellaria cinerea,"Barbraud, C., Delord, K., Le Bouard, F., Harivel, R., Demay, J., Chaigne, A. and Micol, T., 2021. Seabird population changes following mammal eradication at oceanic Saint-Paul Island, Indian Ocean. Journal for Nature Conservation, 63, p.126049.",NA,Population,Abundance,Timing,Rattus rattus,,,NA,NA,0,,0,NA,NA,NA,NA,Saint-Paul Island,-40.318600000000004,-9.9352999999999998,gough,Tristan da Cunha,Atlantic Ocean - South,Saint Helena,Grey Petrel were present on the island before and after rat eradication (Table 3),301,Rattus rattus,,Procellaria cinerea_Rattus rattus
Procellaria cinerea,"Dilley, B.J., Davies, D., Bond, A.L. and Ryan, P.G., 2015. Effects of mouse predation on burrowing petrel chicks at Gough Island. Antarctic Science, 27(6), pp.543-553.",NA,Predation,Predation,Predation,Mus musculus,,,Chicks,NA,1,,0,NA,NA,NA,NA,Gough Island,-46.912500000000001,37.743611000000001,marion,Prince Edward Islands,Indian Ocean - West,South Africa,"""Several grey petrel (Procellaria cinerea Gmelin) chicks were found with mouse wounds and 60% of chicks failed (n = 35 hatchlings).""",302,Mus musculus,,Procellaria cinerea_Mus musculus
Procellaria cinerea,"Dilley, B.J., Schoombie, S., Stevens, K., Davies, D., Perold, V., Osborne, A., Schoombie, J., Brink, C.W., Carpenter-Kling, T. and Ryan, P.G., 2018. Mouse predation affects breeding success of burrow-nesting petrels at sub-Antarctic Marion Island. Antarctic Science, 30(2), pp.93-104.",NA,Predation,Predation,Predation,Mus musculus,,,Chicks,18,1,17,0,NA,NA,NA,NA,Marion Island,-46.912500000000001,37.743611000000001,marion,Prince Edward Islands,Indian Ocean - West,South Africa,"""We assessed the extent of mouse predation by monitoring the inside of 55 burrow chambers with video surveillance cameras (4024 film days from 2012–16) and recorded fatal attacks on grey (3/18 nests filmed, 17%) and great-winged petrel chicks (1/19, 5%).""",303,Mus musculus,,Procellaria cinerea_Mus musculus
Prosobonia parvirostris,"Seitre, J., 1992. Causes of land-bird extinctions in French Polynesia. Oryx, 26(4), pp.215-222.",NA,Population,Abundance,Spatial,Rattus exulans,,1,NA,NA,1,,1,1,6,0,0,French Polynesia,-21.2959,-136.7491,tuamotu,Tuamotu Archipelago,Pacific Ocean - South East,French Polynesia,Table 3,311,Rattus exulans,,Prosobonia parvirostris_Rattus exulans
Pterodroma alba,"Gangloff, B., Raust, P., Thibault, J.C. and Bretagnolle, V., 2009. Notes on the Phoenix Petrel (Pterodroma alba) from Hatuta'a Island, Marquesas. Waterbirds, 32(3), pp.453-458.",NA,Predation,Predation,Predation,Rattus exulans,,,NA,NA,0,,0,NA,NA,NA,NA,Hatuta’a Island,-7.9172000000000002,-140.56790000000001,hatuta'a (hatuuta),Marquesas,Pacific Ocean - South East,French Polynesia,"""No evidence for Pacific Rat predation on eggs or chicks was found.""",319,Rattus exulans,,Pterodroma alba_Rattus exulans
Pterodroma atrata,"Oppel, S., Lavers, J.L., Donaldson, A.H., Forrest, A.K., McClelland, G.T., Bond, A.L. and Brooke, M.D.L., 2017. Population status, breeding success and ecology of the Henderson Petrel after a failed rat eradication on Henderson Island. Emu-Austral Ornithology, 117(2), pp.151-159.",NA,Predation,Predation,Predation,Rattus exulans,,,Chicks,25,1,12,0,NA,NA,NA,NA,Henderson Island,-24.374400000000001,-128.3271,henderson,Pitcairn Islands,Pacific Ocean - South East,Pitcairn,"""We also estimated the nest survival of 25 nests to be 28.5%, and most nest failures occurred within 7 days of hatching when chicks were killed by rats (n = 3) or a crab (n = 1).""",321,Rattus exulans,,Pterodroma atrata_Rattus exulans
Pterodroma atrata,"Oppel, S., Lavers, J.L., Donaldson, A.H., Forrest, A.K., McClelland, G.T., Bond, A.L. and Brooke, M.D.L., 2017. Population status, breeding success and ecology of the Henderson Petrel after a failed rat eradication on Henderson Island. Emu-Austral Ornithology, 117(2), pp.151-159.",NA,Population,Reproductive success,Timing,Rattus exulans,,,NA,NA,0,,0,NA,NA,NA,NA,Henderson Island,-24.374400000000001,-128.3271,henderson,Pitcairn Islands,Pacific Ocean - South East,Pitcairn,"""The higher nest survival in 2015, which is similar to nest survival estimates of other gadfly petrel populations persisting with Pacific rats (Rayner et al. 2007; Jones et al. 2015)...based on rat trapping in 2013 and 2015 which indicated that rat abundance had recovered to pre-eradication levels""",322,Rattus exulans,,Pterodroma atrata_Rattus exulans
Pterodroma brevipes,"Tennyson, A.J., Miskelly, C.M. and Totterman, S.L., 2012. Observations of collared petrels (Pterodroma brevipes) on Vanua Lava, Vanuatu, and a review of the species’ breeding distribution. Notornis, 59, pp.39-48.",NA,Predation,Predation,Predation,Rattus exulans,,,NA,NA,0,,0,NA,NA,NA,NA,Vanua Lava,-13.8443,167.44720000000001,vanua lava,Banks Islands,Pacific Ocean - South West,Vanuatu,"""Cats (Felis catus), pigs (Sus scrofa) and rats are present on Vanua Lava (authors, pers. obs.) and while these predators may well be a threat to the collared petrel population, we found no direct evidence of predation on this species""",324,"Rattus exulans, Rattus rattus",,Pterodroma brevipes_Rattus exulans
Pterodroma brevipes,"Tennyson, A.J., Miskelly, C.M. and Totterman, S.L., 2012. Observations of collared petrels (Pterodroma brevipes) on Vanua Lava, Vanuatu, and a review of the species’ breeding distribution. Notornis, 59, pp.39-48.",NA,Predation,Predation,Predation,Rattus rattus,,,NA,NA,0,,0,NA,NA,NA,NA,Vanua Lava,-13.8443,167.44720000000001,vanua lava,Banks Islands,Pacific Ocean - South West,Vanuatu,"""Cats (Felis catus), pigs (Sus scrofa) and rats are present on Vanua Lava (authors, pers. obs.) and while these predators may well be a threat to the collared petrel population, we found no direct evidence of predation on this species""",324,"Rattus exulans, Rattus rattus",,Pterodroma brevipes_Rattus rattus
Pterodroma cookii,"Rayner, M.J., Parker, K.A. and Imber, M.J., 2008. Population census of Cook's Petrel Pterodroma cookii breeding on Codfish Island (New Zealand) and the global conservation status of the species. Bird Conservation International, 18(3), pp.211-218.",NA,Population,Abundance,Timing,Rattus exulans,,,NA,NA,1,,0,NA,NA,NA,NA,Codfish Island,-46.773299999999999,167.63210000000001,whenua hou/ codfish,Stewart Islands,Pacific Ocean - South West,New Zealand,"""The Cook’s Petrel population on Codfish Island appears to have increased markedly since Weka (Gallirallis australis ) and Pacific Rat (Rattus exulans) were eradicated in 1980 and 1998""…""Comparison between our survey data and historic anecdotal observations of the distribution of Cook’s Petrel breeding on Codfish Island suggest that the population may have increased several times since the eradication of Weka in 1984. This increase may also have accelerated in the nine years since Pacific Rat eradication (Imber et al. 2003a).""",327,Rattus exulans,,Pterodroma cookii_Rattus exulans
Pterodroma cookii,"Imber, M.J., West, J.A. and Cooper, W.J., 2003. Cook's petrel (Pterodroma cookii): historic distribution, breeding biology and effects of predators. Notornis, 50(4), pp.221-230.",NA,Predation,Predation,Predation,Rattus exulans,,,"Eggs, chicks",42,1,22.25,0,NA,NA,NA,NA,Little Barrier Island,-36.194600000000001,175.0753,hauturu (clark),Whangamata,Pacific Ocean - South West,New Zealand,"""Occasionally eggs were left unattended...all unattended eggs were eaten by Pacific rats"" ""The predation rate on eggs by Pacific rats was 12.5% and 32% in 1972/73 and 1973/74 respectively. Equally detrimental was rat predation of chicks",328,Rattus exulans,,Pterodroma cookii_Rattus exulans
Pterodroma cookii,"Imber, M.J., West, J.A. and Cooper, W.J., 2003. Cook's petrel (Pterodroma cookii): historic distribution, breeding biology and effects of predators. Notornis, 50(4), pp.221-230.",NA,Population,Reproductive success,Temporal,Rattus exulans,,1,NA,NA,1,,1,1,2,1,0,Little Barrier Island,-36.194600000000001,175.0753,hauturu (clark),Whangamata,Pacific Ocean - South West,New Zealand,"""On Whenua Hou (Table 5), breeding success in the presence of rats was significantly lower (x2=50.4,1 df, P<0.001)in the high study area than in the low study area, but it increased significantly (x2=29.3,1 df, P<0.001) in the high study area following eradication of rats. In the low studv area...""",329,Rattus exulans,,Pterodroma cookii_Rattus exulans
Pterodroma cookii,BirdLife International. 2018. Pterodroma cookii. The IUCN Red List of Threatened Species 2018: e.T22697975A132616449. https://dx.doi.org/10.2305/IUCN.UK.2018-2.RLTS.T22697975A132616449.en. Accessed on 28 December 2023.,NA,Population,Abundance,Timing,Rattus exulans,,,NA,NA,1,,0,NA,NA,NA,NA,Little Barrier Island,-36.194600000000001,175.0753,hauturu (clark),Whangamata,Pacific Ocean - South West,New Zealand,"""the status of the species has improved, in particular following the successful eradication of the last introduced predators (Pacific rat Rattus exulans) on Little Barrier Island (where by far the largest numbers breed), leading to an increase in fledging success from 5% to 70%"" Unclear where this data comes from.",330,Rattus exulans,,Pterodroma cookii_Rattus exulans
Pterodroma cookii,"Rayner, M.J., Hauber, M.E. and Clout, M.N., 2007. Breeding habitat of the Cook’s Petrel (Pterodroma cookii) on Little Barrier Island (Hauturu): implications for the conservation of a New Zealand endemic. Emu, 107(1), pp.59-68.",NA,Population,Abundance,Timing,Rattus exulans,,,NA,NA,0,,0,NA,NA,NA,NA,Little Barrier Island,-36.194600000000001,175.0753,hauturu (clark),Whangamata,Pacific Ocean - South West,New Zealand,"""Predation, however, fails to explain the presence (and survival during pre-Pacific Rat and pre-Cat eradications) of the low-altitude colonies of Cook’s Petrel present in our study. Alternative explanations may be that the colonies were established during the 26 years since eradication of Cats, or that localised Cat control conducted by resident rangers (Veitch 2001) may have helped to protect these sites.""",331,Rattus exulans,,Pterodroma cookii_Rattus exulans
Pterodroma cookii,"Rayner, M.J., Hauber, M.E., Imber, M.J., Stamp, R.K. and Clout, M.N., 2007. Spatial heterogeneity of mesopredator release within an oceanic island system. Proceedings of the National Academy of Sciences, 104(52), pp.20862-20865.",NA,Population,Reproductive success,Spatiotemporal,Rattus exulans,,1,NA,NA,1,,1,1,2 sites,1,0,Little Barrier Island,-36.194600000000001,175.0753,hauturu (clark),Whangamata,Pacific Ocean - South West,New Zealand,"Fig 1,2 ""The rat’s impact on prey productivity varied with elevation within the island. Rat eradication was followed by a rise in petrel productivity""",332,Rattus exulans,,Pterodroma cookii_Rattus exulans
Pterodroma externa,BirdLife International. 2018. Pterodroma externa. The IUCN Red List of Threatened Species 2018: e.T22698030A132620783. https://dx.doi.org/10.2305/IUCN.UK.2018-2.RLTS.T22698030A132620783.en. Accessed on 30 December 2023.,NA,Predation,Predation,Predation,Rattus norvegicus,,,Chicks,NA,1,,0,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,"""Brown rats Rattus norvegicus also prey on chicks, though the incidence appears low and restricted to certain habitat types (J. C. Torres-Mura in litt. 1999, P. Hodum in litt. 2007).""",334,Rattus norvegicus,,Pterodroma externa_Rattus norvegicus
Pterodroma externa,BirdLife International. 2018. Pterodroma externa. The IUCN Red List of Threatened Species 2018: e.T22698030A132620783. https://dx.doi.org/10.2305/IUCN.UK.2018-2.RLTS.T22698030A132620783.en. Accessed on 30 December 2023.,NA,Predation,Predation,Predation,Mus musculus,,,Chicks,NA,1,,0,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,"""There is also limited evidence of predation on chicks by House Mice Mus musculus, but this does not appear to be widespread (Hodum 2009)"" (Reference not in English)",335,Mus musculus,,Pterodroma externa_Mus musculus
Pterodroma incerta,"Cuthbert, R., Sommer, E., Ryan, P., Cooper, J. and Hilton, G., 2004. Demography and conservation of the Tristan albatross Diomedea [exulans] dabbenena. Biological Conservation, 117(5), pp.471-481.","Cuthbert, R. and Hilton, G., 2004. Introduced house mice Mus musculus: a significant predator of threatened and endemic birds on Gough Island, South Atlantic Ocean?. Biological conservation, 117(5), pp.483-489.",Predation,Predation,Predation,Mus musculus,,,Chicks,NA,1,,0,NA,NA,NA,NA,Gough Island,-40.318600000000004,-9.9352999999999998,gough,Tristan da Cunha,Atlantic Ocean - South,Saint Helena,"""Wounds found on two live chicks and injuries found on Atlantic Pterodroma incerta petrel chicks strongly suggest that feral house mice Mus musculus are the most likely predator of Tristan albatross chicks (Cuthbert and Hilton, in press).""",338,Mus musculus,,Pterodroma incerta_Mus musculus
Pterodroma incerta,"Wanless, R.M., Angel, A., Cuthbert, R.J., Hilton, G.M. and Ryan, P.G., 2007. Can predation by invasive mice drive seabird extinctions?. Biology letters, 3(3), pp.241-244.",NA,Predation,Predation,Predation,Mus musculus,,,Chicks,60,1,66,0,NA,NA,NA,NA,Gough Island,-40.318600000000004,-9.9352999999999998,gough,Tristan da Cunha,Atlantic Ocean - South,Saint Helena,"""Mouse-induced mortality in 2004 was a significant cause of extremely poor breeding success for Tristan albatrosses, Diomedea dabbenena (0.27 fledglings/pair), and Atlantic petrels, Pterodroma incerta (0.33).""",339,Mus musculus,,Pterodroma incerta_Mus musculus
